,Problem,Alg_name,Iteration,Evaluations,Objectives,n_variables,xl,xu,exec_time,approx_nadir,solutions_shape,pop_size,path,image_location
713,ZDT3,NSGA3,100,4000,2,20,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.5359270572662354,[0.84763883 1.01698542],43,40,/home/582/ow6835/MOOP/Result/ZDT3/NSGA3_ZDT3_20/ZDT3_NSGA3_Iteration-100_Obj-2_Var-20.678c67f9-e0f4-4cbf-8dd8-91df2745bbac,/home/582/ow6835/MOOP/Result/Images/ZDT3/NSGA3_ZDT3Var-20/ZDT3_NSGA3_Iteration-100_Obj-2_Var-20_Pop_size40
714,ZDT3,NSGA2,500,20000,2,20,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],2.4064080715179443,[0.85185726 0.99998283],40,40,/home/582/ow6835/MOOP/Result/ZDT3/NSGA2_ZDT3_20/ZDT3_NSGA2_Iteration-500_Obj-2_Var-20.5c6510f5-8124-47ff-8414-82cbade76a53,/home/582/ow6835/MOOP/Result/Images/ZDT3/NSGA2_ZDT3Var-20/ZDT3_NSGA2_Iteration-500_Obj-2_Var-20_Pop_size40
715,ZDT3,RNSGA2,200,8000,2,10,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],1.694352626800537,[0.82904623 0.99686556],40,40,/home/582/ow6835/MOOP/Result/ZDT3/RNSGA2_ZDT3_10/ZDT3_RNSGA2_Iteration-200_Obj-2_Var-10.cface4c8-a00f-4890-87eb-2bc3745a5668,/home/582/ow6835/MOOP/Result/Images/ZDT3/RNSGA2_ZDT3Var-10/ZDT3_RNSGA2_Iteration-200_Obj-2_Var-10_Pop_size40
716,ZDT3,NSGA2,1000,100000,2,20,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],10.116981506347656,[0.85179055 1.        ],100,100,/home/582/ow6835/MOOP/Result/ZDT3/NSGA2_ZDT3_20/ZDT3_NSGA2_Iteration-1000_Obj-2_Var-20.9ed5fa06-592a-452f-91fe-afa11d9f3abd,/home/582/ow6835/MOOP/Result/Images/ZDT3/NSGA2_ZDT3Var-20/ZDT3_NSGA2_Iteration-1000_Obj-2_Var-20_Pop_size100
717,ZDT3,NSGA2,200,40000,2,20,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],3.859805822372437,[0.85138461 1.00656333],200,200,/home/582/ow6835/MOOP/Result/ZDT3/NSGA2_ZDT3_20/ZDT3_NSGA2_Iteration-200_Obj-2_Var-20.abb8d252-8927-4506-80b9-1b4a11ff22f3,/home/582/ow6835/MOOP/Result/Images/ZDT3/NSGA2_ZDT3Var-20/ZDT3_NSGA2_Iteration-200_Obj-2_Var-20_Pop_size200
718,ZDT3,RNSGA2,1000,40000,2,10,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],8.312438726425171,[0.83051551 0.99211708],40,40,/home/582/ow6835/MOOP/Result/ZDT3/RNSGA2_ZDT3_10/ZDT3_RNSGA2_Iteration-1000_Obj-2_Var-10.ca3b64d1-773b-48bb-9817-8bfcfc210003,/home/582/ow6835/MOOP/Result/Images/ZDT3/RNSGA2_ZDT3Var-10/ZDT3_RNSGA2_Iteration-1000_Obj-2_Var-10_Pop_size40
719,ZDT3,RNSGA2,500,20000,2,10,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],4.3141186237335205,[0.85138918 1.03457137],40,40,/home/582/ow6835/MOOP/Result/ZDT3/RNSGA2_ZDT3_10/ZDT3_RNSGA2_Iteration-500_Obj-2_Var-10.599dc2b2-316f-4e7b-bb24-4beeae1a4a09,/home/582/ow6835/MOOP/Result/Images/ZDT3/RNSGA2_ZDT3Var-10/ZDT3_RNSGA2_Iteration-500_Obj-2_Var-10_Pop_size40
720,ZDT3,RNSGA2,200,40000,2,10,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],8.48363995552063,[0.85233461 0.99998721],200,200,/home/582/ow6835/MOOP/Result/ZDT3/RNSGA2_ZDT3_10/ZDT3_RNSGA2_Iteration-200_Obj-2_Var-10.4315fe67-ae3a-4e87-b490-135727061a92,/home/582/ow6835/MOOP/Result/Images/ZDT3/RNSGA2_ZDT3Var-10/ZDT3_RNSGA2_Iteration-200_Obj-2_Var-10_Pop_size200
721,ZDT3,RNSGA2,500,50000,2,10,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],10.84263038635254,[0.85660534 1.00014577],100,100,/home/582/ow6835/MOOP/Result/ZDT3/RNSGA2_ZDT3_10/ZDT3_RNSGA2_Iteration-500_Obj-2_Var-10.b0dae242-1a09-40f0-8359-38b318fb8886,/home/582/ow6835/MOOP/Result/Images/ZDT3/RNSGA2_ZDT3Var-10/ZDT3_RNSGA2_Iteration-500_Obj-2_Var-10_Pop_size100
722,ZDT3,NSGA2,1000,200000,2,20,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],20.400379419326782,[0.85183578 0.99999993],200,200,/home/582/ow6835/MOOP/Result/ZDT3/NSGA2_ZDT3_20/ZDT3_NSGA2_Iteration-1000_Obj-2_Var-20.0e45224a-f359-404c-9807-a4c405446b27,/home/582/ow6835/MOOP/Result/Images/ZDT3/NSGA2_ZDT3Var-20/ZDT3_NSGA2_Iteration-1000_Obj-2_Var-20_Pop_size200
